,name,place,description
204,pushkar,Brahma Temple,"This 2000years old, Brahmaji temple is the only temple in the world dedicated to Jagatpita Brahma. The temple is carved beautifully, the colours and the idol are great to look at. The chaturmukhi (four faced) idol of Lord Brahma is housed in the inner sanctum. Take flowers and prasad from local shops around the temple to offer Lord Brahma. Idols of Shiva, Gayatri, Vishnu and Narad are also present in the temple.  

Tip: At times temple is bit crowdy, you should go during afternoon to avoid the rush.
Photography is prohibited inside the temple."
205,pushkar,Pushkar Lake,"The Pushkar Lake is a one of the holiest place for Hindus. There are 52 ghats(steps) around the lake, where pilgrims pray and take bath to wash away sings of whole life. The white buildings/temple around the lake looks very beautiful on a sunny day.
There are many mythological stories of the lake. Do hear some of those from locals and sadhus around. 
Note: Photography is prohibited of bathing area."
206,pushkar,Hot Air Ballooning,One of most exciting way to see a city is from the top. Pushkar gives you chance to see this cultural and religious city in exhilarating and adventurous way via Hot air Balloon. A flight over pushkar will give you kaleidoscopic view of Pushkar lake and city.
207,pushkar,Varaha Temple,"Varaha temple is the largest and the most ancient temple of Pushkar. Constructed by the 12th century ruler, King Anaji Chauhan, this temple is dedicated to the third incarnation of Lord Vishnu as a wild boar. Legend has it that Varaha rescued the earth from depth of the primeval water, where it was dragged down by a demon (Hirnayaksh). It is one of the most visited temples in Pushkar."
208,pushkar,Rangji Temple,"The gracious and conspicuous Rangji Temple is another popular shrine that witnesses thousands of pilgrims and tourists every year. The temple is dedicated to Lord Rangji, believed to be an incarnation of Lord Vishnu. The influence of South Indian style, Rajput style and Mughal style in the temple’s architecture is highly noticeable. The high-rising ‘Gopuram’, prevalent mainly in the temples present in South India is another feature of the temple that attracts visitors."
209,pushkar,Savitri Temple,"Savitri temple is a temple dedicated to first and estranged wife of Lord Brahma, Savitri. Its located on top of hill and presents panoramic of Pushkar Lake and city. 
Temple is situated on hill and can be reached by ropeway or one can climb steps to reach the temple. Temple has idols of both wife of Brahma Savitri and Gayatri."
210,pushkar,Horse riding,"If horse riding interests you, pushkar has one of the best horse riding experience for you and if you are doing it, at the time of Pushkar fair then, its  icing on the cake. At pushkar, you can do Horse safari also. Hope on your horse and travel the sand dunes to get the thrilling experience. During pushkar fair you can participate in horse racing also."
211,thanjavur,Brihadeeswara Temple,"Peruvudaiyar Kovil, which is also famous as Brihadeeswara Temple, Rajarajeswara and RajaRajeshwara Temple, is located at Thanjavur in Tamil Nadu state of India. It is one Hindu temple, which they dedicate towards Lord Shiva. It is one luminous example of major heights, which Cholas achieves within Tamil architecture. This temple is one tribute and one reflection of power of its supporter Raja Raja Chola I. this temple remains as India’s largest and Indian architecture’s one of greatest glories. It is also a part of UNESCO World Heritage Site as “Great Living Chola Temples”.
This great temple is India’s one of most prized site for its architecture. It stands in middle of fortified walls added probably in sixteenth century."
212,ramtek,Ramtek Temple,"Ramtek temple is away from the crowd of the city, situated inside a fort on a hilltop and this temple is a source of rich mythological history. Ramtek is believed to be the place where Lord Rama, of the epic Ramayana, spent some time during his exile with his wife, Sita, and brother Lakshmana before leaving to conquer Lanka therefore making Lord Rama the main deity to be worshipped here.

Ramtek temple is also popularly known as Ram Dham, Ram Mandir, and Ramtek Fort Temple. The temple has an elevation of 345 meters from land and is believed to be 600 years old. It is most famed for the 350 feet long and unique OM structure that is adorned with descriptions from Ramayana and idols of Hanuman, Sai Baba, and Gajanan Maharaj. &#39;Padhukas’ (divine feet) of Lord Rama are worshiped here. At the foot of the temple, there is a big tank called Ambala Talab which used for ‘pittu pooja’ i.e. immersing the ashes of the dead."
213,ramtek,Khindsi Lake,"Khindsi Lake near Ramtek city is the perfect getaway from the maddening crowd of Nagpur. Khindsi Lake is very easily accessible by road from the Nagpur. It is a popular picnic destination and offers boating and water sports facilities with the couple of resorts available around the lake where one can spend a day or two and relax. 

It is a picturesque and clean lake for a fun day with family and friends. The serene beauty of this lake makes it the perfect picnic spot for several families. You can also take part in an array of water sports or enjoy a boat ride. This picturesque setting is blessed with many resorts nearby, which provide lodging for tourists. Soak in the natural beauty exuded by the lake while you spend precious moments in the midst of nature. The busy life in the bustling streets of Nagpur might take a toll on you. Take a break from your busy schedule and delve into the infinite beauties that nature has to offer you."
214,ramtek,Ramtek Dam Reservoir,"Ramtek Dam is an earth fill type of a dam that is impounded on Sur River near Ramtek of the Nagpur district. This Ramtek Dam is majorly used for irrigation purposes but over the period of time it has become the picnic spot as of Dam as the attractive spot of the crowd around and people giving visit to Ramtek temple also make out time to explore Ramtek Dam.

The height of the Ramtek dam above lowest foundation is 22.2 m that is 73 feet’s while the length is 229 m that is 751 feet’s. The volume content is 1,300 km cube that is 310 cu mi and gross storage capacity is 105,130.00 km cube that is 25,222.03 cu mi. The spillway of Ramtek Dam is un-gated. Now a days almost all the water bodies make for good picnic spots so does the Ramtek Dam attract the tourists visiting Ramtek. And thus tourists enjoy the nature around and its scenic beauty."
215,ramtek,"Boat Ride, Khindsi Lake","Khindsi Lake is also popular for its water activities mainly boating is one of them. Boat riding is one of the favorite and most attracted activities of the Khindsi Lake. It is a popular picnic destination and offers boating and water sports facilities with the couple of resorts available around the lake where one can spend a day or two and relax. 

The serene beauty of this lake makes it the perfect picnic spot for several families. At the Khindsi Lake tourists can also take part in an array of water sports or enjoy a boat ride. This picturesque setting is blessed with many resorts nearby, which provide lodging for tourists around the Lake. It's a huge lake offering boat rides and lake side garden for kids. The cost of the motorboat varies around 100 rupee and the cost of the paddle boats varies around 75rupee. The variety of boating facilities given makes boat riding popular activity in Khindsi."
216,kochi,"Wonderla Amusement Park, Kochi","Wonderla, Kochi, the first ISO 14001 (for environmental protection) and OHSAS 18001 (for safety) certified amusement park in India, is a picture-perfect spot with exhilarating rides and games. Nestled in picturesque greenery at Pallikkara 14 kms from Kochi City.
Park offers world class entertainment with adventure. Apart from these there are many other specialties including “XD Max”, a 3-D virtual reality attraction and India’s first ultra modern 500 seats digital indoor Musical Fountain with laser show.  It is a perfect getaway for unwinding oneself."
217,kochi,Cherai Beach,"This lovely beach ideal for swimming is located on the north end of Vypeen island, one of the many small islands just off the mainland. The beach is lined by gorgeous coconut groves and paddy fields. Vypeen can be reached by land or by boat."
218,kochi,Marine Drive,"A stroll along the long tree-lined coastal pathway that lines the backwater is well worth the time spent, especially late afternoon or dusk. The bustling backwaters, dotted with fishing boats, speedboats, ships, tankers and passenger boats, can be observed from this walkway that lines the coast."
219,kochi,Chinese Fishing Nets,"The chinese fishing nets (Cheenavala) are distinctly unique to Cochin. It is believed that traders from the court of the Chinese ruler Kublai Khan introduced these nets here. Oddly, these nets are found only in Kochi, outside China! Many fishermen earn their livelihood by fishing using these massive nets. A whole stretch of the coast along Fort Kochi and Vypeen are dotted with these nets."
220,kochi,St. Francis Church,"It is the oldest church built by Europeans in India. On his 3rd visit to Kerala, Vasco da Gama, the Portuguese trader who reached India from Europe by sea, fell ill and died in Kochi. He was buried in the St. Francis Church. Later his remains were taken back to Portugal. In spite of that, his burial spot inside the church has been clearly marked out."
221,nainital,Nainital Lake,"The Nainital Lake, also colloquially called the Naini lake, is one of the four lakes of the Kumaon hills. This being the most popular among the four, because of its ethereal serenity and beautiful ambience. The subtly dancing waters, being flanked by elevated regions which are flooded with green trees, the highly decorated boats and the cheerful boatmen, all together make this lake a must visit to every travel freak.

You will find umpteen boats at the lake, which you can hire for a cheerful and peaceful ride in the lake. You can either opt for peddling boats or motor boats. The boatmen compete with each other by offering their boats with a very unique kind of decoration. You will also find boats with sofas fitted into them and they call them the deluxe seats. There are also those classical and traditional rowing boats, that vouchsafe you with a very pleasant and natural ride. With the boatmen making creaky noise from his oars."
222,kurukshetra,Brahma Sarovar,"The Brahma Sarovar is a great place to wander around in peace, whilst admiring the vastness of it. It is quite clean and fun for the whole family. The large statue of Lord Krishna's chariot is a sight to behold.

This is the place where Pandavas took a dip after the epic war, which killed all their Kaurava cousins. Thus, this sarovar (big pond) is considered by Hindus to wash away their sins even after committing sin."
223,kurukshetra,Jyotisar,"The holy land of Jyotisar is believed to be the cradle of Hindu civilisation and culture. It is believed that Lord Krishna delivered the eternal message of Bhagwad Gita to Arjuna before commencement of Mahabharata battle here.

Residents of this area believe that Lord Krishna delivered the Bhagavad Gita standing under a banyan tree at this place; millions of people come here to pay their obeisance to the celestial and eternal Gita. A central place of interest at Jyotisar is a captivating marble statue of Krishna on a beautiful chariot, delivering the immortal Gita to Arjuna canopied by a banyan tree.

A light and sound show on the theme of Bhagavad Gita is also a worth an experience."
224,kurukshetra,Sheikh Chilli’s Tomb,"To every common visitor, this place is a well maintained place with little historical value. Lawns are good and views from the top of the structure are good. This place represents the Mughal Architecture as well."
225,kurukshetra,Sri Krishna Museum,"A must visit place for people who want to know more about mahabharat. The place was established to impart philosophies of ancient people like lord Krishna,Bhishma, Vidur."
226,kurukshetra,Kurukshetra Panorama and Science Centre,"The main attraction of the Centre is a lifelike panorama of the epic battle of Kurukshetra that showcases Mahabharata war with scientific explanations justifying every episode in the war. The Centre has an interesting exhibition called 'India: A Heritage in Science, Technology and Culture', consisting of working and interactive exhibits on ancient India.
At the center of the cylindrical hall, there are paintings 34-feet in height depicting various episodes of the Mahabharata. The chanting of Gita and distant war cries blended with lighting illusions end a perfect ambience."
227,kurukshetra,Sannihit Sarovar,"Believed to be the permanent abode of Lord Vishnu, Sannihit Sarovar is situated at a distance of 3 kms. from Kurukshetra on Pehowa Road. It is supposed that entire range of Tirthas assembles here on the day of Amavasya and as per the legends, if a man performs Shradhs at the time of solar eclipse and takes bath in this tank, he acquires the fruit of 1000 Ashwamedha sacrifices.

At the time of solar eclipse, pilgrims gather at this holy spot. Interestingly visitors to this place can know about their ancestors from the Purohits or locally known as Pandas, who for ages have been the record keepers of the pilgrims coming from various parts of the country.

Sikh Gurus too have visited this holy place from time to time."
228,kurukshetra,Bhadrakali Temple,"This is one of the religious places located in Kurukshetra for the Hindus who believe that Godess has the Power, Energy and Prosperity to offer you just by visiting these places.
The place is located a little away from the main Kurukshetra park area but has ample parking space if you are travelling by own vehicle . Another medium of travel is by the Auto rickshaw which can be hired easily across entire of Kurukshetra city. 
The outside is popluated with the shops where you can buy your puja items to be offered to the Godess.
once inside, you can see the Godess idol being populated with devotees to get the glimpse and secondly a kund ( a well ) covered nicely so no accidents occur in which you can ask your prayers and drop coins as an offering to fulfil your prayers."
